model_tag,protocol,feature_set,class,support,recall
gemma3_4b,leave_one_prompt::TR05,no_seq_len,lowrank,198,0.929293
gemma3_4b,leave_one_prompt::TR05,no_seq_len,monarch,73,0.945205
gemma3_4b,leave_one_prompt::TR08,no_seq_len,banded,1,1.0
gemma3_4b,leave_one_prompt::TR08,no_seq_len,lowrank,195,0.933333
gemma3_4b,leave_one_prompt::TR08,no_seq_len,monarch,76,0.960526
gemma3_4b,leave_one_prompt_macro,no_seq_len,banded,24,1.0
gemma3_4b,leave_one_prompt_macro,no_seq_len,lowrank,2660,0.930827
gemma3_4b,leave_one_prompt_macro,no_seq_len,monarch,580,0.937931
ministral8b,group_split_by_model_task_layer,full,lowrank,3346,0.990735
ministral8b,group_split_by_model_task_layer,full,monarch,110,0.981818
ministral8b,leave_one_prompt::BZ01,full,lowrank,1116,0.985663
ministral8b,leave_one_prompt::BZ01,full,monarch,36,1.0
ministral8b,leave_one_prompt::BZ02,full,lowrank,1120,0.98125
ministral8b,leave_one_prompt::BZ02,full,monarch,32,1.0
ministral8b,leave_one_prompt::BZ05,full,lowrank,1117,0.985676
ministral8b,leave_one_prompt::BZ05,full,monarch,35,1.0
ministral8b,leave_one_prompt::BZ09,full,lowrank,1114,0.978456
ministral8b,leave_one_prompt::BZ09,full,monarch,38,0.973684
ministral8b,leave_one_prompt::TC01,full,lowrank,1118,0.982111
ministral8b,leave_one_prompt::TC01,full,monarch,34,1.0
ministral8b,leave_one_prompt::TC02,full,lowrank,1113,0.984726
ministral8b,leave_one_prompt::TC02,full,monarch,39,1.0
ministral8b,leave_one_prompt::TC08,full,lowrank,1111,0.991899
ministral8b,leave_one_prompt::TC08,full,monarch,41,0.926829
ministral8b,leave_one_prompt::TC10,full,lowrank,1112,0.985612
ministral8b,leave_one_prompt::TC10,full,monarch,40,1.0
ministral8b,leave_one_prompt::TR01,full,lowrank,1102,0.978221
ministral8b,leave_one_prompt::TR01,full,monarch,50,0.98
ministral8b,leave_one_prompt::TR02,full,lowrank,1101,0.980926
ministral8b,leave_one_prompt::TR02,full,monarch,51,0.941176
ministral8b,leave_one_prompt::TR05,full,lowrank,1098,0.981785
ministral8b,leave_one_prompt::TR05,full,monarch,54,0.981481
ministral8b,leave_one_prompt::TR08,full,lowrank,1097,0.977211
ministral8b,leave_one_prompt::TR08,full,monarch,55,0.981818
ministral8b,leave_one_prompt_macro,full,lowrank,13319,0.982807
ministral8b,leave_one_prompt_macro,full,monarch,505,0.980198
ministral8b,group_split_by_model_task_layer,no_seq_len,lowrank,3346,0.987747
ministral8b,group_split_by_model_task_layer,no_seq_len,monarch,110,1.0
ministral8b,leave_one_prompt::BZ01,no_seq_len,lowrank,1116,0.985663
ministral8b,leave_one_prompt::BZ01,no_seq_len,monarch,36,1.0
ministral8b,leave_one_prompt::BZ02,no_seq_len,lowrank,1120,0.980357
ministral8b,leave_one_prompt::BZ02,no_seq_len,monarch,32,1.0
ministral8b,leave_one_prompt::BZ05,no_seq_len,lowrank,1117,0.983885
ministral8b,leave_one_prompt::BZ05,no_seq_len,monarch,35,1.0
ministral8b,leave_one_prompt::BZ09,no_seq_len,lowrank,1114,0.981149
ministral8b,leave_one_prompt::BZ09,no_seq_len,monarch,38,0.973684
ministral8b,leave_one_prompt::TC01,no_seq_len,lowrank,1118,0.980322
ministral8b,leave_one_prompt::TC01,no_seq_len,monarch,34,1.0
ministral8b,leave_one_prompt::TC02,no_seq_len,lowrank,1113,0.982929
ministral8b,leave_one_prompt::TC02,no_seq_len,monarch,39,1.0
ministral8b,leave_one_prompt::TC08,no_seq_len,lowrank,1111,0.988299
ministral8b,leave_one_prompt::TC08,no_seq_len,monarch,41,0.95122
ministral8b,leave_one_prompt::TC10,no_seq_len,lowrank,1112,0.983813
ministral8b,leave_one_prompt::TC10,no_seq_len,monarch,40,1.0
ministral8b,leave_one_prompt::TR01,no_seq_len,lowrank,1102,0.983666
ministral8b,leave_one_prompt::TR01,no_seq_len,monarch,50,0.98
ministral8b,leave_one_prompt::TR02,no_seq_len,lowrank,1101,0.980018
ministral8b,leave_one_prompt::TR02,no_seq_len,monarch,51,0.960784
ministral8b,leave_one_prompt::TR05,no_seq_len,lowrank,1098,0.981785
ministral8b,leave_one_prompt::TR05,no_seq_len,monarch,54,0.962963
ministral8b,leave_one_prompt::TR08,no_seq_len,lowrank,1097,0.983592
ministral8b,leave_one_prompt::TR08,no_seq_len,monarch,55,0.981818
ministral8b,leave_one_prompt_macro,no_seq_len,lowrank,13319,0.982957
ministral8b,leave_one_prompt_macro,no_seq_len,monarch,505,0.982178
qwen3_8b,group_split_by_model_task_layer,full,banded,64,0.953125
qwen3_8b,group_split_by_model_task_layer,full,lowrank,2893,0.954718
qwen3_8b,group_split_by_model_task_layer,full,monarch,499,0.857715
qwen3_8b,leave_one_prompt::BZ01,full,banded,22,1.0
qwen3_8b,leave_one_prompt::BZ01,full,lowrank,1027,0.964946
qwen3_8b,leave_one_prompt::BZ01,full,monarch,103,0.825243
qwen3_8b,leave_one_prompt::BZ02,full,banded,24,0.916667
qwen3_8b,leave_one_prompt::BZ02,full,lowrank,1023,0.964809
qwen3_8b,leave_one_prompt::BZ02,full,monarch,105,0.866667
qwen3_8b,leave_one_prompt::BZ05,full,banded,21,1.0
qwen3_8b,leave_one_prompt::BZ05,full,lowrank,1011,0.975272
qwen3_8b,leave_one_prompt::BZ05,full,monarch,120,0.825
qwen3_8b,leave_one_prompt::BZ09,full,banded,18,1.0
qwen3_8b,leave_one_prompt::BZ09,full,lowrank,1014,0.970414
qwen3_8b,leave_one_prompt::BZ09,full,monarch,120,0.858333
qwen3_8b,leave_one_prompt::TC01,full,banded,22,1.0
qwen3_8b,leave_one_prompt::TC01,full,lowrank,1025,0.961951
qwen3_8b,leave_one_prompt::TC01,full,monarch,105,0.809524
qwen3_8b,leave_one_prompt::TC02,full,banded,19,1.0
qwen3_8b,leave_one_prompt::TC02,full,lowrank,1015,0.962562
qwen3_8b,leave_one_prompt::TC02,full,monarch,118,0.847458
qwen3_8b,leave_one_prompt::TC08,full,banded,20,1.0
qwen3_8b,leave_one_prompt::TC08,full,lowrank,1012,0.974308
qwen3_8b,leave_one_prompt::TC08,full,monarch,120,0.85
qwen3_8b,leave_one_prompt::TC10,full,banded,19,0.947368
qwen3_8b,leave_one_prompt::TC10,full,lowrank,1018,0.95776
qwen3_8b,leave_one_prompt::TC10,full,monarch,115,0.834783
qwen3_8b,leave_one_prompt::TR01,full,banded,10,1.0
qwen3_8b,leave_one_prompt::TR01,full,lowrank,947,0.967265
qwen3_8b,leave_one_prompt::TR01,full,monarch,195,0.938462
qwen3_8b,leave_one_prompt::TR02,full,banded,12,0.916667
qwen3_8b,leave_one_prompt::TR02,full,lowrank,953,0.967471
qwen3_8b,leave_one_prompt::TR02,full,monarch,187,0.957219
qwen3_8b,leave_one_prompt::TR05,full,banded,10,0.9
qwen3_8b,leave_one_prompt::TR05,full,lowrank,949,0.953635
