model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_method,best_param,best_frob_rel,best_kl_mean,group_id
gemma3_4b,TR01,16,2,509,193.5964,1.4838,0.674,0.7305,0.299,79.2927,travel,sparse_topk,40,0.012275,0.132644,gemma3_4b::TR01::16
gemma3_4b,TR01,16,3,509,148.669,1.2033,0.8311,0.8616,0.2576,114.3344,travel,sparse_topk,40,0.003772,0.036325,gemma3_4b::TR01::16
gemma3_4b,TR01,16,4,509,157.9671,1.5346,0.6516,0.7548,0.2639,96.2384,travel,sparse_topk,40,0.002999,0.014037,gemma3_4b::TR01::16
gemma3_4b,TR01,16,5,509,196.6466,1.456,0.6868,0.727,0.3455,94.0474,travel,sparse_topk,40,0.002674,0.021233,gemma3_4b::TR01::16
gemma3_4b,TR01,16,6,509,121.4963,3.5785,0.2794,0.5607,0.1595,78.893,travel,sparse_topk,40,0.003692,0.030782,gemma3_4b::TR01::16
gemma3_4b,TR01,16,7,509,199.5648,3.6432,0.2745,0.4823,0.2518,75.0455,travel,sparse_topk,40,0.003009,0.02255,gemma3_4b::TR01::16
gemma3_4b,TR01,17,0,509,194.961,1.7924,0.5579,0.669,0.2279,110.4837,travel,sparse_topk,40,0.004333,0.032914,gemma3_4b::TR01::17
gemma3_4b,TR01,17,1,509,208.2971,1.24,0.8064,0.8556,0.1702,117.6223,travel,sparse_topk,40,0.011083,0.150251,gemma3_4b::TR01::17
gemma3_4b,TR01,17,2,509,150.4892,1.4403,0.6943,0.7912,0.1528,120.9774,travel,sparse_topk,40,0.0046,0.026432,gemma3_4b::TR01::17
gemma3_4b,TR01,17,3,509,247.5196,1.5939,0.6274,0.6708,0.2919,115.2126,travel,sparse_topk,40,0.00412,0.019401,gemma3_4b::TR01::17
gemma3_4b,TR01,17,4,509,82.9282,1.0769,0.9286,0.9525,0.102,159.8256,travel,sparse_topk,40,0.002756,0.022678,gemma3_4b::TR01::17
gemma3_4b,TR01,17,5,509,43.0039,1.0348,0.9664,0.9775,0.062,206.2199,travel,sparse_topk,40,0.002205,0.016074,gemma3_4b::TR01::17
gemma3_4b,TR01,17,6,509,77.8236,1.043,0.9588,0.973,0.0636,173.6381,travel,sparse_topk,40,0.007016,0.067237,gemma3_4b::TR01::17
gemma3_4b,TR01,17,7,509,62.5413,1.0919,0.9158,0.9594,0.0843,157.3511,travel,sparse_topk,40,0.019468,0.214131,gemma3_4b::TR01::17
gemma3_4b,TR01,18,0,509,134.676,1.1359,0.8804,0.8999,0.2437,153.7343,travel,sparse_topk,40,0.001802,0.009415,gemma3_4b::TR01::18
gemma3_4b,TR01,18,1,509,151.5531,1.2739,0.785,0.8145,0.1994,126.2312,travel,sparse_topk,40,0.00304,0.018978,gemma3_4b::TR01::18
gemma3_4b,TR01,18,2,509,217.5588,1.3222,0.7563,0.7854,0.2724,103.6696,travel,sparse_topk,40,0.00258,0.024592,gemma3_4b::TR01::18
gemma3_4b,TR01,18,3,509,208.0872,1.4226,0.703,0.7417,0.3784,80.7879,travel,sparse_topk,40,0.002738,0.022691,gemma3_4b::TR01::18
gemma3_4b,TR01,18,4,509,272.8484,1.5633,0.6397,0.6649,0.4532,130.6776,travel,sparse_topk,40,0.001154,0.001729,gemma3_4b::TR01::18
gemma3_4b,TR01,18,5,509,217.1953,1.3025,0.7677,0.7907,0.3784,134.7368,travel,sparse_topk,40,0.001933,0.007945,gemma3_4b::TR01::18
gemma3_4b,TR01,18,6,509,235.0764,1.5974,0.626,0.6672,0.4128,83.6465,travel,sparse_topk,40,0.003615,0.011955,gemma3_4b::TR01::18
gemma3_4b,TR01,18,7,509,239.6966,4.9278,0.2029,0.3111,0.5275,47.7988,travel,sparse_topk,40,0.00217,0.004266,gemma3_4b::TR01::18
gemma3_4b,TR01,19,0,509,187.9068,1.1992,0.8339,0.8571,0.2707,111.6695,travel,sparse_topk,40,0.006115,0.067878,gemma3_4b::TR01::19
gemma3_4b,TR01,19,1,509,109.053,1.0735,0.9316,0.9451,0.1673,154.8207,travel,sparse_topk,40,0.003119,0.025607,gemma3_4b::TR01::19
gemma3_4b,TR01,19,2,509,188.0279,1.2696,0.7877,0.8103,0.3674,111.6215,travel,sparse_topk,40,0.002673,0.013431,gemma3_4b::TR01::19
gemma3_4b,TR01,19,3,509,107.0638,1.2687,0.7882,0.8409,0.1956,119.0231,travel,sparse_topk,40,0.002159,0.012827,gemma3_4b::TR01::19
gemma3_4b,TR01,19,4,509,281.7793,1.9927,0.5018,0.5688,0.3388,75.2521,travel,sparse_topk,40,0.006854,0.073748,gemma3_4b::TR01::19
gemma3_4b,TR01,19,5,509,258.3166,2.8837,0.3468,0.4293,0.398,67.213,travel,sparse_topk,40,0.004085,0.027376,gemma3_4b::TR01::19
gemma3_4b,TR01,19,6,509,121.6419,1.204,0.8306,0.8674,0.2837,153.5446,travel,sparse_topk,40,0.002401,0.009721,gemma3_4b::TR01::19
gemma3_4b,TR01,19,7,509,156.5582,1.1035,0.9062,0.9236,0.1125,178.5327,travel,sparse_topk,40,0.00437,0.037712,gemma3_4b::TR01::19
gemma3_4b,TR01,20,0,509,77.6848,1.0452,0.9568,0.9672,0.1377,171.2537,travel,sparse_topk,40,0.003745,0.02856,gemma3_4b::TR01::20
gemma3_4b,TR01,20,1,509,172.5469,1.1724,0.853,0.8795,0.233,122.5223,travel,sparse_topk,40,0.005211,0.053113,gemma3_4b::TR01::20
gemma3_4b,TR01,20,2,509,131.1533,1.2961,0.7715,0.8353,0.2533,124.1284,travel,sparse_topk,40,0.001556,0.007039,gemma3_4b::TR01::20
