model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_non_sparse_method,best_non_sparse_param,best_non_sparse_frob_rel,best_non_sparse_kl_mean,group_id
gemma3_4b,TR01,12,1,509,137.2502,1.3443,0.7439,0.8119,0.0752,120.9876,travel,lowrank,16,0.382648,0.76118,gemma3_4b::TR01::12
gemma3_4b,TR01,12,2,509,273.6886,8.3855,0.1193,0.2056,0.5513,37.4818,travel,monarch,2,0.313544,1.902176,gemma3_4b::TR01::12
gemma3_4b,TR01,12,3,509,168.9589,1.5969,0.6262,0.7164,0.2052,73.1985,travel,monarch,2,0.460404,3.988526,gemma3_4b::TR01::12
gemma3_4b,TR01,12,4,509,168.3491,3.5565,0.2812,0.5148,0.2468,71.3567,travel,lowrank,16,0.564852,0.854445,gemma3_4b::TR01::12
gemma3_4b,TR01,12,5,509,282.9942,1.818,0.55,0.5995,0.3456,90.7326,travel,lowrank,16,0.603661,1.219009,gemma3_4b::TR01::12
gemma3_4b,TR01,12,6,509,226.9946,2.9883,0.3346,0.4306,0.3015,72.6092,travel,monarch,2,0.506913,4.157093,gemma3_4b::TR01::12
gemma3_4b,TR01,12,7,509,217.8193,2.0687,0.4834,0.5635,0.3524,93.0649,travel,monarch,2,0.589935,5.242028,gemma3_4b::TR01::12
gemma3_4b,TR01,13,0,509,270.2978,1.944,0.5144,0.5485,0.5615,94.943,travel,monarch,2,0.64587,5.187902,gemma3_4b::TR01::13
gemma3_4b,TR01,13,1,509,290.0559,2.0262,0.4935,0.5244,0.5708,89.0923,travel,monarch,2,0.613545,4.773649,gemma3_4b::TR01::13
gemma3_4b,TR01,13,2,509,129.1191,1.1271,0.8872,0.9151,0.1392,123.4499,travel,lowrank,16,0.309531,0.745818,gemma3_4b::TR01::13
gemma3_4b,TR01,13,3,509,199.1802,2.1126,0.4734,0.5324,0.2728,72.4273,travel,monarch,2,0.48839,3.860254,gemma3_4b::TR01::13
gemma3_4b,TR01,13,4,509,136.3201,1.3449,0.7435,0.8165,0.1472,109.1198,travel,lowrank,16,0.36161,0.716435,gemma3_4b::TR01::13
gemma3_4b,TR01,13,5,509,92.0853,1.1001,0.909,0.9416,0.0881,132.1518,travel,lowrank,16,0.21026,0.486511,gemma3_4b::TR01::13
gemma3_4b,TR01,13,6,509,295.2433,1.5041,0.6648,0.6961,0.3986,113.7523,travel,lowrank,16,0.570992,1.726268,gemma3_4b::TR01::13
gemma3_4b,TR01,13,7,509,391.6243,2.1356,0.4682,0.4961,0.4026,87.4979,travel,monarch,2,0.540665,4.6747,gemma3_4b::TR01::13
gemma3_4b,TR01,14,0,509,181.0492,1.3183,0.7586,0.7903,0.3531,120.0855,travel,lowrank,16,0.529963,1.367541,gemma3_4b::TR01::14
gemma3_4b,TR01,14,1,509,135.5158,1.1475,0.8715,0.8949,0.2248,133.8109,travel,lowrank,16,0.345455,0.786695,gemma3_4b::TR01::14
gemma3_4b,TR01,14,2,509,230.1886,2.061,0.4852,0.6,0.2852,80.796,travel,monarch,2,0.565873,4.978411,gemma3_4b::TR01::14
gemma3_4b,TR01,14,3,509,259.5936,3.6746,0.2721,0.3664,0.3924,73.8665,travel,monarch,2,0.56021,4.630267,gemma3_4b::TR01::14
gemma3_4b,TR01,14,4,509,232.4595,2.1441,0.4664,0.5176,0.45,87.6577,travel,monarch,2,0.579461,4.635767,gemma3_4b::TR01::14
gemma3_4b,TR01,14,5,509,156.8971,1.7269,0.5791,0.6275,0.3909,96.8121,travel,monarch,2,0.589684,4.980697,gemma3_4b::TR01::14
gemma3_4b,TR01,14,6,509,217.3418,7.3745,0.1356,0.2914,0.3279,44.5044,travel,monarch,2,0.482747,2.66008,gemma3_4b::TR01::14
gemma3_4b,TR01,14,7,509,489.5442,28.3199,0.0353,0.0594,0.7053,35.0785,travel,monarch,2,0.184352,1.778854,gemma3_4b::TR01::14
gemma3_4b,TR01,15,0,509,135.1498,1.1241,0.8896,0.9132,0.1705,130.4452,travel,lowrank,16,0.301043,0.69742,gemma3_4b::TR01::15
gemma3_4b,TR01,15,1,509,138.8798,1.1684,0.8559,0.8819,0.2152,128.1222,travel,lowrank,16,0.362616,0.885645,gemma3_4b::TR01::15
gemma3_4b,TR01,15,2,509,93.9406,1.0418,0.9598,0.9679,0.1467,149.4143,travel,lowrank,16,0.176448,0.489549,gemma3_4b::TR01::15
gemma3_4b,TR01,15,3,509,182.1203,1.4302,0.6992,0.764,0.319,107.6697,travel,lowrank,16,0.476459,0.931996,gemma3_4b::TR01::15
gemma3_4b,TR01,15,4,509,154.6926,1.2109,0.8258,0.8644,0.2041,131.5954,travel,lowrank,16,0.373526,0.778868,gemma3_4b::TR01::15
gemma3_4b,TR01,15,5,509,132.184,1.3034,0.7672,0.8338,0.169,129.3448,travel,lowrank,16,0.38105,0.730797,gemma3_4b::TR01::15
gemma3_4b,TR01,15,6,509,139.8735,1.6455,0.6077,0.764,0.1585,113.5332,travel,lowrank,16,0.400165,0.65727,gemma3_4b::TR01::15
gemma3_4b,TR01,15,7,509,173.0238,1.4393,0.6948,0.7893,0.2399,113.917,travel,lowrank,16,0.444659,0.861545,gemma3_4b::TR01::15
gemma3_4b,TR01,16,0,509,358.9811,3.6012,0.2777,0.3106,0.6845,61.8049,travel,monarch,2,0.421367,2.99745,gemma3_4b::TR01::16
gemma3_4b,TR01,16,1,509,233.697,1.5512,0.6447,0.7137,0.3097,93.0834,travel,lowrank,16,0.512685,0.972463,gemma3_4b::TR01::16
gemma3_4b,TR01,16,2,509,193.5964,1.4838,0.674,0.7305,0.299,79.2927,travel,lowrank,16,0.483041,0.933386,gemma3_4b::TR01::16
gemma3_4b,TR01,16,3,509,148.669,1.2033,0.8311,0.8616,0.2576,114.3344,travel,lowrank,16,0.372414,0.846697,gemma3_4b::TR01::16
gemma3_4b,TR01,16,4,509,157.9671,1.5346,0.6516,0.7548,0.2639,96.2384,travel,lowrank,16,0.443948,0.759424,gemma3_4b::TR01::16
gemma3_4b,TR01,16,5,509,196.6466,1.456,0.6868,0.727,0.3455,94.0474,travel,lowrank,16,0.521148,1.107552,gemma3_4b::TR01::16
gemma3_4b,TR01,16,6,509,121.4963,3.5785,0.2794,0.5607,0.1595,78.893,travel,lowrank,16,0.502358,0.66052,gemma3_4b::TR01::16
gemma3_4b,TR01,16,7,509,199.5648,3.6432,0.2745,0.4823,0.2518,75.0455,travel,lowrank,16,0.619302,0.98155,gemma3_4b::TR01::16
