task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,16,2,509,193.5964,1.4838,0.674,0.7305,0.299,79.2927
TR01,travel,gemma3_4b,16,3,509,148.669,1.2033,0.8311,0.8616,0.2576,114.3344
TR01,travel,gemma3_4b,16,4,509,157.9671,1.5346,0.6516,0.7548,0.2639,96.2384
TR01,travel,gemma3_4b,16,5,509,196.6466,1.456,0.6868,0.727,0.3455,94.0474
TR01,travel,gemma3_4b,16,6,509,121.4963,3.5785,0.2794,0.5607,0.1595,78.893
TR01,travel,gemma3_4b,16,7,509,199.5648,3.6432,0.2745,0.4823,0.2518,75.0455
TR01,travel,gemma3_4b,17,0,509,194.961,1.7924,0.5579,0.669,0.2279,110.4837
TR01,travel,gemma3_4b,17,1,509,208.2971,1.24,0.8064,0.8556,0.1702,117.6223
TR01,travel,gemma3_4b,17,2,509,150.4892,1.4403,0.6943,0.7912,0.1528,120.9774
TR01,travel,gemma3_4b,17,3,509,247.5196,1.5939,0.6274,0.6708,0.2919,115.2126
TR01,travel,gemma3_4b,17,4,509,82.9282,1.0769,0.9286,0.9525,0.102,159.8256
TR01,travel,gemma3_4b,17,5,509,43.0039,1.0348,0.9664,0.9775,0.062,206.2199
TR01,travel,gemma3_4b,17,6,509,77.8236,1.043,0.9588,0.973,0.0636,173.6381
TR01,travel,gemma3_4b,17,7,509,62.5413,1.0919,0.9158,0.9594,0.0843,157.3511
TR01,travel,gemma3_4b,18,0,509,134.676,1.1359,0.8804,0.8999,0.2437,153.7343
TR01,travel,gemma3_4b,18,1,509,151.5531,1.2739,0.785,0.8145,0.1994,126.2312
TR01,travel,gemma3_4b,18,2,509,217.5588,1.3222,0.7563,0.7854,0.2724,103.6696
TR01,travel,gemma3_4b,18,3,509,208.0872,1.4226,0.703,0.7417,0.3784,80.7879
TR01,travel,gemma3_4b,18,4,509,272.8484,1.5633,0.6397,0.6649,0.4532,130.6776
TR01,travel,gemma3_4b,18,5,509,217.1953,1.3025,0.7677,0.7907,0.3784,134.7368
TR01,travel,gemma3_4b,18,6,509,235.0764,1.5974,0.626,0.6672,0.4128,83.6465
TR01,travel,gemma3_4b,18,7,509,239.6966,4.9278,0.2029,0.3111,0.5275,47.7988
TR01,travel,gemma3_4b,19,0,509,187.9068,1.1992,0.8339,0.8571,0.2707,111.6695
TR01,travel,gemma3_4b,19,1,509,109.053,1.0735,0.9316,0.9451,0.1673,154.8207
TR01,travel,gemma3_4b,19,2,509,188.0279,1.2696,0.7877,0.8103,0.3674,111.6215
TR01,travel,gemma3_4b,19,3,509,107.0638,1.2687,0.7882,0.8409,0.1956,119.0231
TR01,travel,gemma3_4b,19,4,509,281.7793,1.9927,0.5018,0.5688,0.3388,75.2521
TR01,travel,gemma3_4b,19,5,509,258.3166,2.8837,0.3468,0.4293,0.398,67.213
TR01,travel,gemma3_4b,19,6,509,121.6419,1.204,0.8306,0.8674,0.2837,153.5446
TR01,travel,gemma3_4b,19,7,509,156.5582,1.1035,0.9062,0.9236,0.1125,178.5327
TR01,travel,gemma3_4b,20,0,509,77.6848,1.0452,0.9568,0.9672,0.1377,171.2537
TR01,travel,gemma3_4b,20,1,509,172.5469,1.1724,0.853,0.8795,0.233,122.5223
TR01,travel,gemma3_4b,20,2,509,131.1533,1.2961,0.7715,0.8353,0.2533,124.1284
TR01,travel,gemma3_4b,20,3,509,64.1237,1.0335,0.9676,0.9758,0.1207,164.4515
TR01,travel,gemma3_4b,20,4,509,139.116,1.2553,0.7966,0.8324,0.2949,109.2622
TR01,travel,gemma3_4b,20,5,509,165.9352,1.3019,0.7681,0.7931,0.3698,133.9074
TR01,travel,gemma3_4b,20,6,509,401.8188,2.1399,0.4673,0.4949,0.4316,98.7243
TR01,travel,gemma3_4b,20,7,509,282.0014,2.4232,0.4127,0.4647,0.5315,68.6992
TR01,travel,gemma3_4b,21,0,509,109.294,1.1029,0.9067,0.9257,0.153,152.8295
TR01,travel,gemma3_4b,21,1,509,40.0709,1.0317,0.9693,0.9843,0.0935,213.6861
TR01,travel,gemma3_4b,21,2,509,87.1144,1.1034,0.9063,0.9408,0.0826,142.6831
TR01,travel,gemma3_4b,21,3,509,240.3545,1.4395,0.6947,0.7222,0.45,125.6175
TR01,travel,gemma3_4b,21,4,509,180.4205,1.2986,0.7701,0.7997,0.3723,142.2831
TR01,travel,gemma3_4b,21,5,509,65.7184,1.0324,0.9686,0.9756,0.1513,197.8535
TR01,travel,gemma3_4b,21,6,509,80.9896,1.0747,0.9305,0.9489,0.0883,172.8353
TR01,travel,gemma3_4b,21,7,509,114.5031,1.0535,0.9493,0.9576,0.1674,158.5206
TR01,travel,gemma3_4b,22,0,509,263.0228,1.3191,0.7581,0.7769,0.3961,115.4284
TR01,travel,gemma3_4b,22,1,509,396.9056,2.0338,0.4917,0.5065,0.5715,111.6526
TR01,travel,gemma3_4b,22,2,509,370.8866,1.7209,0.5811,0.6047,0.4033,97.2551
