task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,ministral8b,6,22,667,297.6797,1.1885,0.8414,0.9031,0.1918,189.0095
TR01,travel,ministral8b,6,23,667,143.7166,1.1631,0.8598,0.9394,0.1632,229.4191
TR01,travel,ministral8b,6,24,667,257.6932,1.3335,0.7499,0.8449,0.2951,229.8814
TR01,travel,ministral8b,6,25,667,176.2612,1.257,0.7955,0.8864,0.2508,226.056
TR01,travel,ministral8b,6,26,667,247.637,1.5012,0.6661,0.7835,0.3511,205.0416
TR01,travel,ministral8b,6,27,667,416.8316,1.6544,0.6044,0.6445,0.4599,159.6334
TR01,travel,ministral8b,6,28,667,93.5403,1.1122,0.8991,0.963,0.1314,227.9803
TR01,travel,ministral8b,6,29,667,132.3704,1.1871,0.8424,0.9121,0.1798,222.2881
TR01,travel,ministral8b,6,30,667,138.7537,1.0892,0.9181,0.9505,0.162,239.4179
TR01,travel,ministral8b,6,31,667,59.1265,1.1122,0.8991,0.9806,0.073,232.0005
TR01,travel,ministral8b,7,0,667,137.2731,1.2371,0.8084,0.9206,0.1273,178.6491
TR01,travel,ministral8b,7,1,667,167.3961,1.3223,0.7562,0.8407,0.2221,157.6513
TR01,travel,ministral8b,7,2,667,185.3082,1.1628,0.86,0.9434,0.1281,197.1019
TR01,travel,ministral8b,7,3,667,155.7602,1.1742,0.8517,0.9277,0.1676,215.9004
TR01,travel,ministral8b,7,4,667,37.2713,1.0255,0.9751,0.9904,0.0681,263.6147
TR01,travel,ministral8b,7,5,667,124.5028,1.0919,0.9158,0.9437,0.1306,223.1734
TR01,travel,ministral8b,7,6,667,59.7389,1.0793,0.9265,0.9681,0.0656,187.5015
TR01,travel,ministral8b,7,7,667,456.697,1.4663,0.682,0.7043,0.3596,214.8993
TR01,travel,ministral8b,7,8,667,374.7426,1.2546,0.797,0.8268,0.279,186.1516
TR01,travel,ministral8b,7,9,667,125.9765,1.118,0.8945,0.9294,0.1037,185.4709
TR01,travel,ministral8b,7,10,667,98.9058,1.0933,0.9147,0.9527,0.0737,242.4886
TR01,travel,ministral8b,7,11,667,64.9055,1.0535,0.9492,0.9762,0.0641,222.2738
TR01,travel,ministral8b,7,12,667,133.7654,1.1244,0.8894,0.9204,0.1094,166.5213
TR01,travel,ministral8b,7,13,667,92.1064,1.0759,0.9294,0.9575,0.0703,168.0045
TR01,travel,ministral8b,7,14,667,140.8868,1.2268,0.8151,0.8717,0.1058,166.5365
TR01,travel,ministral8b,7,15,667,99.8054,1.1264,0.8878,0.9356,0.081,177.7422
TR01,travel,ministral8b,7,16,667,234.3281,1.3027,0.7676,0.8313,0.3028,212.4662
TR01,travel,ministral8b,7,17,667,203.063,1.1922,0.8388,0.877,0.2466,220.5619
TR01,travel,ministral8b,7,18,667,6.7687,1.0352,0.966,0.9989,0.0224,306.3298
TR01,travel,ministral8b,7,19,667,41.474,1.0634,0.9404,0.9834,0.0741,291.4443
TR01,travel,ministral8b,7,20,667,155.2642,1.1248,0.8891,0.9254,0.1911,198.3458
TR01,travel,ministral8b,7,21,667,40.9509,1.0379,0.9635,0.9892,0.0281,212.2503
TR01,travel,ministral8b,7,22,667,23.7442,1.031,0.97,0.9931,0.024,214.4191
TR01,travel,ministral8b,7,23,667,133.6449,1.0995,0.9095,0.9401,0.1637,192.6258
TR01,travel,ministral8b,7,24,667,248.2264,1.5814,0.6323,0.6672,0.4152,158.209
TR01,travel,ministral8b,7,25,667,352.2274,1.2565,0.7958,0.8149,0.3709,186.8244
TR01,travel,ministral8b,7,26,667,186.5698,1.2184,0.8207,0.8443,0.2081,174.5728
TR01,travel,ministral8b,7,27,667,113.0806,1.0776,0.928,0.9441,0.1582,206.6577
TR01,travel,ministral8b,7,28,667,173.2815,1.2193,0.8202,0.8394,0.0499,240.3007
TR01,travel,ministral8b,7,29,667,102.8097,1.0608,0.9426,0.9611,0.0373,243.6077
TR01,travel,ministral8b,7,30,667,62.2229,1.0211,0.9793,0.9842,0.107,235.0535
TR01,travel,ministral8b,7,31,667,112.0957,1.0495,0.9529,0.9646,0.0469,223.8959
TR01,travel,ministral8b,8,0,667,187.3688,1.4034,0.7126,0.7856,0.1217,153.4478
TR01,travel,ministral8b,8,1,667,203.6378,1.3664,0.7318,0.775,0.2112,153.4706
TR01,travel,ministral8b,8,2,667,98.9548,1.0922,0.9156,0.9433,0.0714,193.197
TR01,travel,ministral8b,8,3,667,328.6992,1.5453,0.6471,0.6859,0.3037,132.3564
